Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,146.699997,146.699997,141.320007,141.949997,141.949997,6040800
2018-10-16,145.470001,147.910004,144.009995,147.440002,147.440002,5383100
2018-10-17,148.350006,148.350006,145.419998,147.009995,147.009995,3377900
2018-10-18,146.089996,147.589996,141.429993,142.839996,142.839996,5338200
2018-10-19,143.610001,145.369995,140.380005,140.490005,140.490005,5141600
2018-10-22,141.699997,143.800003,139.199997,142.949997,142.949997,4234900
2018-10-23,139.320007,141.970001,137.779999,140.660004,140.660004,6462000
2018-10-24,141.229996,141.500000,133.000000,133.259995,133.259995,7251500
2018-10-25,133.690002,141.690002,133.669998,140.800003,140.800003,7792900
2018-10-26,135.750000,139.210007,132.610001,135.520004,135.520004,7457000
2018-10-29,138.100006,139.550003,128.529999,130.990005,130.990005,9212500
2018-10-30,130.440002,132.990005,128.029999,132.169998,132.169998,10037900
2018-10-31,134.919998,138.710007,134.770004,137.240005,137.240005,6666400
2018-11-01,138.399994,139.800003,136.410004,139.589996,139.589996,4668800
2018-11-02,140.139999,140.550003,136.100006,136.789993,136.789993,4481400
2018-11-05,137.339996,137.339996,133.460007,135.440002,135.440002,4629900
2018-11-06,135.399994,138.000000,132.979996,133.949997,133.949997,4667100
2018-11-07,136.850006,142.309998,136.429993,141.789993,141.789993,5804000
2018-11-08,143.220001,143.630005,140.679993,141.869995,141.869995,3986700
2018-11-09,141.059998,141.059998,135.050003,136.919998,136.919998,5252500
2018-11-12,135.740005,136.660004,130.080002,130.500000,130.500000,7571200
2018-11-13,131.479996,133.770004,128.949997,132.160004,132.160004,6176300
2018-11-14,134.210007,134.940002,128.580002,129.350006,129.350006,5692400
2018-11-15,129.199997,131.929993,126.300003,131.604996,131.604996,3335873
